"velocity:0","velocity:1","velocity:2","vtkGhostType","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3733,6.222e-05,0,0,1.4914,1,0.6232,5.1,0.8232,0
1.3747,6.1995e-05,0,0,1.4914,1,0.6251,5.1,0.8251,0
1.3761,6.1769e-05,0,0,1.4914,1,0.627,5.1,0.827,0
1.3775,6.1543e-05,0,0,1.4914,1,0.6289,5.1,0.8289,0
1.3789,6.1318e-05,0,0,1.4914,1,0.6308,5.1,0.8308,0
1.3802,6.1092e-05,0,0,1.4914,1,0.6327,5.1,0.8327,0
1.3816,6.0867e-05,0,0,1.4914,1,0.6346,5.1,0.8346,0
1.383,6.0641e-05,0,0,1.4914,1,0.6365,5.1,0.8365,0
1.3844,6.0415e-05,0,0,1.4914,1,0.6384,5.1,0.8384,0
1.3858,6.019e-05,0,0,1.4914,1,0.6403,5.1,0.8403,0
1.3872,5.9964e-05,0,0,1.4914,1,0.6422,5.1,0.8422,0
1.3886,5.9738e-05,0,0,1.4914,1,0.6441,5.1,0.8441,0
1.39,5.9513e-05,0,0,1.4914,1,0.646,5.1,0.846,0
1.3913,5.9287e-05,0,0,1.4914,1,0.6479,5.1,0.8479,0
